Sample,Time,Unit,Formic acid,Acetic acid,Lactic acid,Pyruvic acid,Succinic acid,3-Phosphoglyceric acid,Phosphoenolpyruvate,Dihydroxyacetone phosphate
4.5,6h,nmol/g,256.6353069,55228.2272,12041.76,233.76,84.16,69.6,26.56,4
4.5,6h,nmol/g,233.5267789,59930.04396,14816.32,276.64,71.36,65.76,23.84,3.2
4.5,6h,nmol/g,235.3866377,52394.99101,10843.36,202.24,81.6,57.12,21.76,3.2
4.5,12h,nmol/g,404.737208,49628.07234,18620,275.84,311.68,82.88,25.92,7.2
4.5,12h,nmol/g,403.2875611,51217.0036,16078.72,262.08,351.84,67.52,26.4,6.24
4.5,12h,nmol/g,391.2495383,51543.62053,20148,240.8,278.4,79.68,27.68,7.68
5,6h,nmol/g,433.3707768,68143.20922,0,713.28,227.04,31.04,13.6,0
5,6h,nmol/g,433.910918,70258.01805,0,680.96,209.44,35.68,12.16,0
5,6h,nmol/g,516.5912004,66600.33804,0,646.72,212.96,33.12,12.16,0
5,12h,nmol/g,463.2832156,46327.86585,6876,1307.52,128.32,94.56,32.16,0
5,12h,nmol/g,458.1205866,47012.03124,7132,1482.24,144.64,117.44,37.92,0
5,12h,nmol/g,472.3296035,50149.4205,6944,1313.44,127.84,93.92,31.84,0
5.5,6h,nmol/g,124.2915807,8549.373876,0,742.72,386.72,196.32,52.48,0
5.5,6h,nmol/g,151.342314,9081.312862,0,606.88,313.6,144.32,48.96,0
5.5,6h,nmol/g,126.295057,8782.971425,0,628.16,336.64,148.8,45.12,0
5.5,12h,nmol/g,142.6033677,15878.95491,126.24,0,76,0,0,0
5.5,12h,nmol/g,111.3577404,16050.62279,159.52,0,73.12,0,0,0
5.5,12h,nmol/g,137.7416621,15263.91294,127.04,0,85.12,0,0,0
6.5,6h,nmol/g,213.3140684,7500.024978,115.2,0,52.8,53.76,20.96,0
6.5,6h,nmol/g,215.3825095,7359.663292,112.8,0,61.92,70.56,22.56,0
6.5,6h,nmol/g,204.5203694,7603.402052,122.88,0,45.44,62.72,20.64,0
6.5,12h,nmol/g,155.7390549,17183.08299,748.64,0,54.72,0,0,0
6.5,12h,nmol/g,158.8775665,16966.34583,675.84,0,51.36,0,0,0
6.5,12h,nmol/g,159.7801195,17337.96543,866.08,0,64.8,0,0,0
Free,6h,nmol/g,92.38935361,9686.596616,0,0,59.36,58.72,18.08,6.24
Free,6h,nmol/g,95.73644758,8288.624858,0,0,59.2,48.48,19.04,6.24
Free,6h,nmol/g,102.1846822,8136.165323,0,0,68.16,64,16.32,8.16
Free,12h,nmol/g,45.64910375,54070.04763,11430.72,0,202.24,15.68,6.72,3.84
Free,12h,nmol/g,46.89016839,55283.95391,11985.44,0,178.88,16.96,7.2,3.68
Free,12h,nmol/g,56.91102662,54234.60501,13130.4,0,193.76,17.12,7.68,3.84
