Sample,Unit,Glucose,Lactic acid,Pyruvic acid,Succinic acid,Formic acid,Acetic acid,Lysine,Histidine,Arginine,Glycine,Serine,Asparagine,Alanine,Aspartic acid,Glutamine,Threonine,Glutamic acid,Proline,Valine,Methionine,Tyrosine,Isoleucine,Leucine,Phenylalanine,Tryptophan
Freedom 0h,μM,33678,0,94.712,0,1585.614382,34862.78863,32.248,43.528,48.56,279.76,169.68,115.6,883.12,37.856,0.536,159.52,123.36,165.44,640.56,222.56,598.8,559.84,1720.56,1072,249.04
Freedom 0h,μM,30908.64,0,62.92,0,1542.373887,35160.32416,32.352,42.456,50.08,224.32,191.92,133.44,962.4,35.72,0.576,163.28,110.424,170.88,642.96,223.44,567.92,574.16,1698.64,1124.64,248
Freedom 0h,μM,30819.28,0,86.984,0,1585.906148,36302.91963,33.616,42.6,45.2,242.16,182,140.48,1014.96,39.584,0.488,149.92,113.712,184.32,609.44,219.92,602.48,540.56,1585.76,1058.72,257.04
Freedom 2h,μM,29064.88,4028.32,159.448,0,1736.619379,44598.33481,33.08,36.552,44.88,239.44,148.8,105.68,893.52,32.384,0,144,96.16,148.96,651.92,238.8,597.2,546.08,1731.92,1084.48,255.2
Freedom 2h,μM,26295.12,4304.56,168.248,0,1533.215077,43173.47913,30.864,38.464,47.44,208.64,152.48,107.52,922.8,31.464,0,151.2,101.096,174.56,631.2,234.32,586.16,550,1557.28,1084.8,265.04
Freedom 2h,μM,26957.2,4274.8,156.56,0,1585.367152,44305.88366,34.368,41.392,48,256.4,166.56,100.32,900.8,33.496,0,138.4,101.656,175.92,627.2,225.2,538.88,586.08,1618.56,1046.48,261.84
Freedom 4h,μM,19416.48,17104.32,444.088,78.88,1504.179883,33997.72425,38.728,26.992,76.88,260.8,141.84,81.68,1038.64,34.416,0.76,170.4,124.224,170.08,648.8,213.52,547.76,604.72,1632.08,980.32,253.2
Freedom 4h,μM,21034.08,18043.2,431.64,80.8,1533.853574,33803.98535,38.84,26.92,76.64,219.84,138.4,77.28,1057.12,33.928,1.024,183.84,117.2,161.52,668.4,215.84,500.08,555.92,1472.32,1007.84,246.64
Freedom 4h,μM,21281.04,17982.4,434.704,77.6,1397.10189,40255.97247,39.592,26.728,78.32,241.52,139.6,73.36,1001.12,33.04,0.856,179.04,119.52,162.64,651.92,211.44,545.44,576.24,1539.6,961.12,245.52
Freedom 6h,μM,16481.52,40016.96,554.736,212.56,1264.761243,39586.24556,44.184,19.696,72.08,269.36,33.44,47.76,1035.76,21.968,1.496,123.76,143.44,185.2,643.68,191.44,526.48,578.48,1435.52,973.2,242.88
Freedom 6h,μM,15806.4,39902.88,637.976,218.48,1295.457962,39731.02798,43.008,23.128,70.24,279.84,30.48,44.16,1018.64,20.704,1.112,149.28,134.28,180.24,697.2,195.36,528.56,629.68,1616.16,984.16,253.68
Freedom 6h,μM,15221.12,41016.4,559.744,207.92,1230.061916,40150.54396,44.52,18.512,65.36,273.12,30.96,43.6,997.68,21.8,1.408,146.88,135.976,150.08,634.32,177.36,547.04,593.44,1567.92,931.76,246.88
Freedom 8h,μM,14806.32,61237.04,639.816,291.44,894.0356289,43642.41785,51.04,17.04,90.48,344.72,19.6,44.8,1113.76,17.232,3.216,114.16,177.64,186.88,690.88,182.4,485.84,568.08,1530.72,919.84,255.52
Freedom 8h,μM,17599.12,63860.48,728.32,302.48,909.9400391,42784.74689,51.856,21.176,91.92,311.44,18.248,46.96,1094.56,16.784,3.256,130.48,170.48,191.6,696.4,189.04,475.76,607.52,1554.64,994.88,245.68
Freedom 8h,μM,15967.6,64229.44,673.824,310.4,971.0175972,44233.78108,51.92,21.584,89.04,342.4,17.84,47.12,1105.36,16.928,3.32,122.72,155.296,184.72,682.72,183.36,523.12,596.8,1734,933.12,253.12
Freedom 10h,μM,17646.32,68379.04,659.904,299.84,483.2294156,37047.97957,58.64,25.544,126.8,386.8,17.072,42.4,1099.92,17.632,4.272,114.56,194.144,197.28,694.8,178.88,468,587.92,1613.2,847.2,229.2
Freedom 10h,μM,17328.16,67408.56,607.232,302.24,485.160113,35682.83748,62.12,25.072,131.68,390.32,17.504,50.24,1259.44,17.776,4.72,109.52,195.224,220.24,697.52,177.04,442.48,545.68,1469.84,863.76,223.68
Freedom 10h,μM,16660.48,69480.56,666.296,269.04,466.8072996,35318.29485,60.36,23.776,122.88,380,18.744,41.44,1208.32,18.272,3.92,119.2,184.024,191.12,684.72,168.24,447.28,566,1572.56,851.2,228.8
Freedom 12h,μM,18145.76,80852.16,755.872,336.16,623.3469476,37383.59236,29.144,13.248,136.64,400.48,10.336,48.08,1158.8,11.04,3.6,107.28,131.328,203.84,731.36,178.64,460.64,571.44,1496.32,861.52,215.92
Freedom 12h,μM,18885.52,80618.24,803.688,307.44,701.88073,36822.06927,29.112,13.336,134.88,424.96,9.272,45.6,1109.76,10.856,4.64,110.32,139.576,203.28,741.92,190.72,424.64,597.6,1560.16,857.76,210.48
Freedom 12h,μM,17463.2,82599.04,736.048,330.8,684.7610254,37371.54751,27.784,13.824,130.16,433.52,10.192,42.16,1161.6,10.816,3.84,108.56,139.28,197.68,682.16,182.8,429.68,567.84,1533.04,875.68,208.8
