RXN,Param,Unit,Value
_,FpHmin,_,0.5
LCTSt,Amin,mmol/(g E·h),10
MANpts,Amin,mmol/(g E·h),10
GLCpts,Amin,mmol/(g E·h),10
LCTSt,klach,1/mM,0.2
MANpts,klach,1/mM,0.2
GLCpts,klach,1/mM,0.2
EX_ac_e,A,mmol/(g E·h),6360
EX_lac_L_e,A,mmol/(g E·h),6360
EX_lac_D_e,A,mmol/(g E·h),6360
LCTSt,A,mmol/(g E·h),540
LACZ,A,mmol/(g E·h),27960
GALK,A,mmol/(g E·h),690
GALT,A,mmol/(g E·h),1020
MANpts,A,mmol/(g E·h),361.14
GLCpts,A,mmol/(g E·h),361.14
HEX1,A,mmol/(g E·h),9480
G6PDH2r,A,mmol/(g E·h),6240
PGL,A,mmol/(g E·h),31200
GND,A,mmol/(g E·h),1920
RPE_for,A,mmol/(g E·h),133886.2053
RPE_rev,A,mmol/(g E·h),133.939
RPI_for,A,mmol/(g E·h),316635.9524
RPI_rev,A,mmol/(g E·h),4793.054
PGI_for,A,mmol/(g E·h),12756
PGI_rev,A,mmol/(g E·h),870
PFK,A,mmol/(g E·h),11400
FDPA,A,mmol/(g E·h),28620
GAPD,A,mmol/(g E·h),2400
PGK,A,mmol/(g E·h),28800
PGM,A,mmol/(g E·h),7440
ENO,A,mmol/(g E·h),15600
PYK,A,mmol/(g E·h),3300
LDH_L,A,mmol/(g E·h),141000
LDH_D,A,mmol/(g E·h),126000
ACALD,A,mmol/(g E·h),2916
ALCD2x,A,mmol/(g E·h),11451.6
PFL,A,mmol/(g E·h),720
PDH,A,mmol/(g E·h),1500
PTAr,A,mmol/(g E·h),428400
ACKr,A,mmol/(g E·h),65220
ACCOAC,A,mmol/(g E·h),360
PGMT,A,mmol/(g E·h),1890
UDPG4E_rev,A,mmol/(g E·h),13998
UDPG4E_for,A,mmol/(g E·h),1620
GALU,A,mmol/(g E·h),285.6
MAN6PI_for,A,mmol/(g E·h),270
MAN6PI_rev,A,mmol/(g E·h),639.7952655
PMANM,A,mmol/(g E·h),82.998
MAN1PT,A,mmol/(g E·h),144
MANT_EPS,A,mmol/(g E·h),250.61
GLCT_EPS,A,mmol/(g E·h),250.61
GALT_EPS,A,mmol/(g E·h),250.61
WZX,A,mmol/(g E·h),37.44
biomass_LPL60,A,mmol/(g E·h),107.4
