RXN,pH6.5,pH5.5,pH5,pH4.5,Log2FC_pH5.5vsRef,Log2FC_pH5vsRef,Log2FC_pH4.5vsRef
GLCpts,0.6875992917469164,0.8660128413149139,0.8160590969487677,0.9278456096628513,0.3328203587334318,0.24710557354210286,0.4323167070142498
PGMT,0.892283301458337,1.0212044473388124,1.0170480534965674,0.9665807163366104,0.19469797969112743,0.1888140991675864,0.11538837172710968
GALU,1.0863095671936664,1.0926000720985167,0.9106181169213583,0.786222572706284,0.008330134743344717,-0.25451722115713427,-0.46642559889176105
UDPG4E,2.492306090277704,2.8123163881748066,2.9718695909384314,2.8866148642411393,0.17427764555083744,0.25388954763872595,0.2118973717339972
MAN6PI,0.932649741188612,0.9206773655245196,0.7805624299505544,0.7808967415331547,-0.018639696367132093,-0.25682135064677714,-0.2562035827556826
PMANM,0.892283301458337,1.0212044473388124,1.0170480534965674,0.9665807163366104,0.19469797969112743,0.1888140991675864,0.11538837172710968
PGI,0.9417657042836239,0.969498871250522,1.0042176626468355,0.9727704825055054,0.04187103282516113,0.09263191418494168,0.0467312668479164
PFK,0.964212996527224,0.9002751458151174,0.9184536598106877,0.8822350801064548,-0.09898588454029209,-0.0701449431950786,-0.12818874868739738
FBA,1.15847243764292,1.0106125201764111,1.0469703413281062,1.1816714637898034,-0.19699376173768188,-0.14600314598441144,0.02860526349761143
TPI,0.894063960745327,0.8704240569801494,0.9340536643304856,1.18738301792512,-0.03865961387461517,0.06312739514768986,0.40933543512922954
GAPD,0.7386240743452084,0.7423152944932613,0.877907607775947,0.9355403466770853,0.007191808310741645,0.24922883071290383,0.3409595875504705
PGK,0.863628471818711,0.8372697942007203,0.9590920266075146,1.07532635332672,-0.04471822782381733,0.15125844463403926,0.316291861632901
PGM,9.003231012604596,8.520111191938224,7.935300929452831,7.68411466896194,-0.07957057953197119,-0.1821579027894293,-0.2285637897368635
ENO,1.3614205345410315,1.3194969344575236,1.4495447453507664,1.498475470915026,-0.045124776522984154,0.09048709257036415,0.1383826926231608
PYK,0.9547826657066283,0.9213512346023056,0.9406971480882648,0.91486028973371,-0.05142113339300554,-0.02144204368105582,-0.06162093102503953
PDH,1.0277787390225688,1.0702621745675966,0.895100583902695,0.8118370860721669,0.05843453324784953,-0.19940799891059016,-0.3402675621191067
PTAr,0.9874798081358219,1.0469122785529434,1.0118620930129658,0.9501549348804046,0.08431740945320759,0.03518952454906282,-0.05558846597766426
ACKr,3.2439483348101064,3.097972795354042,2.87593863883932,2.6703973892037363,-0.06642636720616855,-0.17371794775988073,-0.2806963931383176
PFL,1.2824686826449867,1.2147501938937466,1.0520253071001466,0.8859401092562349,-0.07826393351339299,-0.285754186303332,-0.5336425171832113
LDH_D,0.7445947445134143,0.8717021719314046,0.9714475480959464,1.0201371099689838,0.22737987076804914,0.3836806682647083,0.45423572991919003
LDH_L,1.561141116624099,1.9775719424812612,1.5501434223012065,1.3203701094475093,0.3411292266330462,-0.010199250466595172,-0.24165856881108383
ACCOAC,0.7202395617100337,0.6860784165459314,0.7019802116178019,0.655595827549836,-0.07010336563849112,-0.037046484407822815,-0.13567017421095767
MACPMT,0.9315775610764674,0.9378025445290961,1.1506263962462733,1.14575675490099,0.009608303763384346,0.3046716773764286,0.2985529964002818
kaasIII,2.0710261560889975,1.7658020269572021,1.9458037781681046,2.013139672890613,-0.2300221700581814,-0.08997954332332979,-0.04089850341847447
G6PDH2r,0.950815171405954,0.933005861176686,0.9107406463737461,0.89794966500654,-0.027278779240029877,-0.062124650348686986,-0.08253034712850368
PGL,1.0762796317017733,1.1496579385602201,1.1056900455067333,1.1113786662720033,0.09515171742603289,0.03889405836685831,0.046297494204561064
GND,1.7126738962705945,1.6179892569002423,1.554714951959939,1.5025283147862218,-0.08204845087365592,-0.13960038472225977,-0.18885830105424548
RPE,0.9014321865268267,0.8080555559562926,0.741799254538036,0.749314868660575,-0.15776447833865276,-0.2811901458016004,-0.2666468846602582
RPI,1.6674271944964612,1.705107807501408,1.8577274062531581,1.9729953788487977,0.03223918842391118,0.15591505345723913,0.24276380713761225
TALA,1.1272573391994,1.0900945766855434,1.0273961307419064,1.0387997084841618,-0.04836359415583351,-0.1338243574159836,-0.11789938864686224
