RXN,pH6.5,pH5.5,pH5,pH4.5,Log2FC_pH5.5vsRef,Log2FC_pH5vsRef,Log2FC_pH4.5vsRef
GLCpts,0.786651659514111,0.6341842906556634,0.7785651661030419,0.9455294305472757,-0.31082279039336713,-0.014907133056706719,0.2653974328391671
PGMT,0.93158059385041,1.1505558171837234,1.1114788322076166,0.9588084076549809,0.304578483478548,0.2547279813339,0.041561973359906794
GALU,1.1431716318191933,1.1589933339503267,1.0165051395927325,0.932806394174801,0.01983024754620031,-0.1694245113678381,-0.2933924380076778
UDPG4E,3.2976028949182146,3.7537353382334517,3.0352889041148856,3.0104549412536548,0.18690925823938678,-0.1195838352539518,-0.1314361523523068
MAN6PI,1.15450208915236,1.4722276741744198,1.017847776269148,1.0136113636439537,0.35073001194568204,-0.18174896778361463,-0.1877661799691118
PMANM,0.93158059385041,1.1505558171837234,1.1114788322076166,0.9588084076549809,0.304578483478548,0.2547279813339,0.041561973359906794
PGI,0.8697236427115088,1.0425160766740766,1.0187970358381129,1.1938522407630634,0.26144067346124583,0.22823770902236465,0.45699533171771634
PFK,1.2130347371740466,1.0369431637604067,1.0705582060565566,1.1060538658452999,-0.22628404463480264,-0.1802576279861538,-0.13319921704600704
FBA,1.0487223871416564,0.9424460193349864,0.893930576517981,0.9306482244670127,-0.15415093267337718,-0.23039812517799874,-0.17232497307838526
TPI,1.1133771102410532,1.1461358400239299,0.985348794305736,0.9659118704924493,0.04183571398725023,-0.17623592239266572,-0.20497885934443996
GAPD,0.841872310504867,0.9957880909583544,1.2278602688294769,1.5753249407743732,0.24223733005713122,0.5444730537881559,0.9039761058632636
PGK,1.1435272069499567,1.1059915238954534,1.0195046828801166,1.08658104537115,-0.04815036186841048,-0.165622288862739,-0.07369490538970569
PGM,11.121547471161433,10.42203790721619,9.38053715353148,9.04806172880041,-0.09372013380004218,-0.24561509846314175,-0.2976768640813641
ENO,2.8778054001982136,2.511741628438289,1.9718477349217896,3.061328687511094,-0.19628097072084658,-0.5454208871937638,0.08918891284967649
PYK,1.2459955495662867,1.1715992142194134,1.030263279687232,0.9421036656861257,-0.08881978464001222,-0.27428585586005605,-0.4033411927290416
PDH,0.7432887237888597,0.8933918274099959,0.7583513260919102,0.559342918716165,0.2653703356962258,0.02894364799803975,-0.4101896880642198
PTAr,0.9013122404741153,1.0033746401625407,1.0892163077993777,1.0865973314752224,0.15476149143080478,0.2731915989720052,0.2697185202931887
ACKr,3.5913861173151695,3.314215857988411,2.980568587008151,2.6735472145835,-0.11587319875396679,-0.26895319635485054,-0.42578561363962164
PFL,0.7992010863122857,0.9224594880944367,0.908534801279867,0.7192925577190082,0.2069270092200283,0.18498323360834273,-0.15197986701565358
LDH_D,1.10963221628107,1.3212789279004666,1.0799823661532801,0.963316388523909,0.251853478547003,-0.03907382317783694,-0.2039999644638318
LDH_L,2.8388472082864364,3.36846042691855,1.9177597911049293,1.6502091799998715,0.24678414768284138,-0.5658831757999256,-0.7826562911505204
ACCOAC,2.203795206725459,2.2581351661653732,1.854433586126143,1.9637566256633998,0.035141680679523155,-0.249011563315457,-0.16637402088904296
MACPMT,0.856681471782429,0.9009905778251737,1.1437180771259488,1.046506852226489,0.07275313266233895,0.4169006847133205,0.28875096649842463
kaasIII,2.26756653623954,2.1019483364511586,1.9635378221652375,2.0836261093781037,-0.10941767386257503,-0.20768949593029926,-0.12204846340957401
G6PDH2r,1.1198490946487167,1.1599292371924532,1.028827832953273,1.0971614393862534,0.05073245988025727,-0.12230275725986706,-0.029528511376777408
PGL,0.792276130761724,0.9919157768129936,0.975995491340259,0.9050275229405247,0.32421428893476023,0.3008711450051655,0.1919583287017815
GND,2.8706764443634403,2.9040165508556535,2.022186646220303,1.99999725681646,0.016658943007509214,-0.5054745697062596,-0.5213927114885151
RPE,1.6898764784835933,1.77627436724163,1.030814717579558,0.44690354781627234,0.07193664417462808,-0.7131327558644074,-1.9188823936119048
RPI,1.917290925543846,2.1583006058629013,2.1813992036442116,2.5862300984340747,0.17082655086909337,0.18618454733631024,0.43178137328100635
TALA,0.5502605909376093,0.48300582668685826,1.3386261506557153,1.4127308066349515,-0.1880744151677662,1.2825661901418326,1.360299675625634
