RXN,pH6.5,pH5.5,pH5,pH4.5,Log2FC_pH5.5vsRef,Log2FC_pH5vsRef,Log2FC_pH4.5vsRef
ASPCT,1.6829612093599202,1.4220771268226866,0.651239841750856,0.5454009139683653,-0.24300221219421003,-1.3697410552588796,-1.6256129013176341
DHORTS,2.2774975549053935,1.8240892179059867,0.59135103630963,0.5045255544478063,-0.32027321037849144,-1.9453628063730892,-2.174450255715648
DHORD6,2.8420050494520233,1.7959021138733335,0.2756256258600547,0.23111411373527066,-0.6622004001089339,-3.366127186152387,-3.6202318473757202
ORPT,2.5150682234603567,1.6321507520789134,0.446812948565837,0.32753318961171,-0.6238232183036057,-2.4928546343415645,-2.9408845245207935
OMPDC,1.4140949054871266,0.9033923236212327,0.563793772742302,0.5163090503321673,-0.6464543883971914,-1.3266395002072442,-1.4535721560541206
PRPPS,2.638309847598093,2.1308913622905155,1.7639123299017396,1.6983535918105321,-0.30815696399350656,-0.5808351493560873,-0.6354771524231202
GLUPRT,1.029722346727501,1.49454050249343,1.2173712486583639,0.5486049359950437,0.5374466119711907,0.24151381534976377,-0.908415875239478
PRAGS,1.9581242883638967,2.39563824562436,0.8165606100430497,0.51518728219624,0.29093772951188324,-1.261840459898409,-1.9263034553398894
GARFT,1.3170029306688467,1.6692235392045298,0.9615445267925106,0.5930978001290402,0.3419186146182759,-0.4538329840346381,-1.1509166301822913
PRFGS,1.2922023558741933,1.7334651185296668,0.8784547722697954,0.40057070901968067,0.4238267959522002,-0.556792095095147,-1.6897031746442837
PRAIS,1.6883999777218566,1.7070855211501297,0.8187141797460816,0.4472017824904437,0.01587862058495502,-1.0442249279075961,-1.9166588716647075
AIRC,2.892588341729077,2.8528448811875413,1.8486051229719798,1.1117320009094314,-0.01995971610040415,-0.6459239346453589,-1.3795519734983104
PRASCS,1.1886632084709634,1.4892693638350234,1.0100059824936978,0.5165338024542062,0.3252647124744793,-0.23497616658237563,-1.2024053363910423
ADSL2,1.623849717205977,1.8470114181038133,0.9342302001081286,0.4586624948798154,0.18577466372372692,-0.7975681334240454,-1.823913273994418
AICART,1.4812360481114333,2.123725409455577,0.8963306513874584,0.4278174055549016,0.5197956773819453,-0.724698627455329,-1.7917344810117712
IMPC,1.4812360481114333,2.123725409455577,0.8963306513874584,0.4278174055549016,0.5197956773819453,-0.724698627455329,-1.7917344810117712
IMPD,1.7830316125875834,1.31553355103395,0.9116468193197044,0.7203338658204667,-0.43868423861594036,-0.9677853578089606,-1.3075946437677146
GMPS2,1.7252736291607234,1.4867433953307334,0.9384948239161283,0.8890196013688346,-0.2146695253708817,-0.8784044988196131,-0.9565380586210933
