Time(hr),Biomass(gDW/L),EPS(g/L)
0.00,0.005307358,0
3.79,0.039426089,0
7.72,0.186220877,0.003191489
11.51,0.18652626,0.012765957
15.44,0.265715414,0.017021277
19.36,0.299834145,0.017021277
23.29,0.379023299,0.014893617
27.08,0.452568119,0.030851064
31.01,0.503588259,0.044680851
34.93,0.571509807,0.057446809
38.86,0.676051073,0.059574468
42.79,0.718620508,0.080851064
46.64,0.789353692,0.09787234
50.50,0.843185468,0.139361702
54.43,0.877304199,0.169148936
58.36,0.928324339,0.204255319
62.15,0.939897328,0.234042553
66.07,0.990917467,0.263829787
70.00,0.985599579,0.259574468
