Seed_ID,Name
rxn00390,N_Acyl_L_aspartate_amidohydrolase
rxn11567,beta_D_Galactosyl_1_4_beta_D_glucosylceramide_galactohydrolase
rxn10298,palmitoyl_lipoteichoic_acid_synthesis_n24__linked__glucose_substituted
rxn05440,7_methyl_trans_oct_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn10297,isohexadecanoyl_lipoteichoic_acid_synthesis_n24__linked__unsubstituted
rxn05457,Acyl_carrier_protein_acetyltransferase
rxn04271,trans_2_Methyl_5_isopropylhexa_2_5_dienal_dehydrogenase
rxn13783,DNA_replication
rxn00557,ITP_D_fructose_6_phosphate_1_phosphotransferase
rxn05392,7_methyl_octanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn03046,ATP_guanidinoethyyl_methyl_phosphate_phosphotransferase
rxn00258,Malonyl_CoA_pyruvate_carboxytransferase
rxn01210,10_Formyltetrahydrofolate_L_glutamate_ligase_ADP_forming
rxn05367,6_methyl_octanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn00545,ATP_D_fructose_6_phosphate_1_phosphotransferase
rxn00771,ATP_D_ribose_5_phosphate_1_phosphotransferase
rxn08807,Lysophospholipase_L1_2_acylglycerophosphoethanolamine__n_C16_1_periplasm
rxn10304,isopentadecanoyl_lipoteichoic_acid_synthesis_n24__linked__glucose_substituted
rxn10344,Lead_Pb_plus_2_ABC_transporter
rxn01405,Spermidine_putrescine_4_aminobutyltransferase_propane_1_3_diamine_forming
rxn05404,13_methyl_tetra_decanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn02796,chenodeoxycholoyltaurine_amidohydrolase
rxn10262,isopentadecanoyl_CDPdiacylglycerol_sn_glycerol_3_phosphate_3_phosphatidyltransferase
rxn10225,isohexadecanoyl_phosphatidate_cytidylyltransferase
rxn03463,R05113
rxn05444,15_methyl_trans_hexa_dec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn05400,11_methyl_dodecanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn02090,Creatinine_iminohydrolase
rxn05814,ATP_nucleoside_phosphate_phosphotransferase
