Gene_ID,Start,End,Strand,Nr_ID,Nr_Description,Kegg_Gene_Name,Kegg_Definition,Kegg_EC,Kegg_Pathway,GO_ID,GO_terms,COG_ID,COG_Description,CAZy_Subject_ID,CAZy_activities,CAZy_note
1_1 ,1,1368,+,WP_003641628.1,MULTISPECIES: chromosomal replication initiator protein DnaA [Lactobacillus],dnaA,chromosomal replication initiator protein,--,ko02020 Two-component system;ko04112 Cell cycle - Caulobacter;,GO:0003677,DNA binding,gnl|CDD|223666,"COG0593, DnaA, ATPase involved in DNA replication initiation [DNA replication, recombination, and repair].",--,--,--
1_2 ,1546,2685,+,WP_003641629.1,MULTISPECIES: DNA polymerase III subunit beta [Lactobacillus],"DPO3B, dnaN",DNA polymerase III subunit beta ,EC:2.7.7.7,ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko03030 DNA replication;ko03430 Mismatch repair;ko03440 Homologous recombination;,GO:0003677,DNA binding,gnl|CDD|223665,"COG0592, DnaN, DNA polymerase sliding clamp subunit (PCNA homolog) [DNA replication, recombination, and repair].",--,--,--
1_3 ,3210,3443,+,WP_003641630.1,MULTISPECIES: S4 domain-containing protein YaaA [Lactobacillus],--,--,--,--,GO:0003723,RNA binding,gnl|CDD|225303,"COG2501, COG2501, S4-like RNA binding protein [Replication, recombination, and repair].",--,--,--
1_4 ,3444,4568,+,WP_003641631.1,MULTISPECIES: DNA replication/repair protein RecF [Lactobacillus],recF,DNA replication and repair protein RecF,--,ko03440 Homologous recombination;,GO:0003697,single-stranded DNA binding,gnl|CDD|224116,"COG1195, RecF, Recombinational DNA repair ATPase (RecF pathway) [DNA replication, recombination, and repair].",--,--,--
1_5 ,4565,6511,+,WP_003641632.1,MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B [Lactobacillus],gyrB,DNA gyrase subunit B ,EC:5.99.1.3,,GO:0003677,DNA binding,gnl|CDD|223265,"COG0187, GyrB, Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit [DNA replication, recombination, and repair].",--,--,--
1_6 ,6676,9237,+,WP_003641633.1,MULTISPECIES: DNA gyrase subunit A [Lactobacillus],gyrA,DNA gyrase subunit A ,EC:5.99.1.3,,GO:0003677,DNA binding,gnl|CDD|223266,"COG0188, GyrA, Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit [DNA replication, recombination, and repair].",AKQ02536.1,murein polymerase (EC 2.4.1.129).,There are two categories of enzymes in this family : monofunctional (just the GT51 module) or bifunctional (GT51 module attached to a penicillin-binding transpeptidase module). These enzymes utilise Und-PP-MurAc-(GlcNAc)-pentapeptide as the sugar donor.
1_7 ,9860,10159,+,WP_003637271.1,MULTISPECIES: 30S ribosomal protein S6 [Lactobacillus],"RP-S6, MRPS6, rpsF",small subunit ribosomal protein S6,--,ko03010 Ribosome;,GO:0003735,structural constituent of ribosome,gnl|CDD|223437,"COG0360, RpsF, Ribosomal protein S6 [Translation, ribosomal structure and biogenesis].",--,--,--
1_8 ,10196,10798,+,WP_003641634.1,MULTISPECIES: single-stranded DNA-binding protein [Lactobacillus],ssb,single-strand DNA-binding protein,--,ko03030 DNA replication;ko03430 Mismatch repair;ko03440 Homologous recombination;,GO:0003697,single-stranded DNA binding,gnl|CDD|223702,"COG0629, Ssb, Single-stranded DNA-binding protein [DNA replication, recombination, and repair].",--,--,--
1_9 ,10837,11073,+,WP_003641635.1,MULTISPECIES: 30S ribosomal protein S18 [Lactobacillus],"RP-S18, MRPS18, rpsR",small subunit ribosomal protein S18,--,ko03010 Ribosome;,GO:0003735,structural constituent of ribosome,gnl|CDD|223316,"COG0238, RpsR, Ribosomal protein S18 [Translation, ribosomal structure and biogenesis].",--,--,--
1_10 ,11254,13266,+,WP_003643610.1,MULTISPECIES: DHH family phosphoesterase [Lactobacillus],--,--,--,--,GO:0003676,nucleic acid binding,gnl|CDD|226404,"COG3887, COG3887, Predicted signaling protein consisting of a modified GGDEF domain and a DHH domain [Signal transduction mechanisms].",--,--,--
