genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.2	HMPREF9024_00002	VBIPedAci303_0002		6-phospho-beta-glucosidase (EC 3.2.1.86)	3.2.1.86	6-phospho-beta-glucosidase	00010	Glycolysis / Gluconeogenesis
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.16	HMPREF9024_00014	VBIPedAci303_0016		Choloylglycine hydrolase (EC 3.5.1.24)	3.5.1.24	Choloylglycine hydrolase	00120	Primary bile acid biosynthesis
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.16	HMPREF9024_00014	VBIPedAci303_0016		Choloylglycine hydrolase (EC 3.5.1.24)	3.5.1.24	Choloylglycine hydrolase	00121	Secondary bile acid biosynthesis
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.37	HMPREF9024_00033	VBIPedAci303_0037		membrane-anchoring domain / Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	3.1.4.46	Glycerophosphodiester phosphodiesterase	00564	Glycerophospholipid metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.57	HMPREF9024_00052	VBIPedAci303_0057		Arginine deiminase (EC 3.5.3.6)	3.5.3.6	Arginine deiminase	00330	Arginine and proline metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.58	HMPREF9024_00053	VBIPedAci303_0058		Carbamate kinase (EC 2.7.2.2)	2.7.2.2	Carbamate kinase	00230	Purine metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.58	HMPREF9024_00053	VBIPedAci303_0058		Carbamate kinase (EC 2.7.2.2)	2.7.2.2	Carbamate kinase	00330	Arginine and proline metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.58	HMPREF9024_00053	VBIPedAci303_0058		Carbamate kinase (EC 2.7.2.2)	2.7.2.2	Carbamate kinase	00910	Nitrogen metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.59	HMPREF9024_00054	VBIPedAci303_0059		Ornithine carbamoyltransferase (EC 2.1.3.3)	2.1.3.3	Ornithine carbamoyltransferase	00330	Arginine and proline metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.61	HMPREF9024_00056	VBIPedAci303_0061		Chromate reductase (EC 1.6.5.2)	1.6.5.2	NAD(P)H dehydrogenase (quinone)	00130	Ubiquinone and other terpenoid-quinone biosynthesis
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.83	HMPREF9024_00077	VBIPedAci303_0083		DNA polymerase III beta subunit (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	00230	Purine metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.83	HMPREF9024_00077	VBIPedAci303_0083		DNA polymerase III beta subunit (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	00240	Pyrimidine metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.110	HMPREF9024_00103	VBIPedAci303_0110		6-phospho-beta-glucosidase (EC 3.2.1.86)	3.2.1.86	6-phospho-beta-glucosidase	00010	Glycolysis / Gluconeogenesis
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.113	HMPREF9024_00106	VBIPedAci303_0113		6-phospho-beta-glucosidase (EC 3.2.1.86)	3.2.1.86	6-phospho-beta-glucosidase	00010	Glycolysis / Gluconeogenesis
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.120	HMPREF9024_00112	VBIPedAci303_0120		Acetate kinase (EC 2.7.2.1)	2.7.2.1	Acetate kinase	00430	Taurine and hypotaurine metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.120	HMPREF9024_00112	VBIPedAci303_0120		Acetate kinase (EC 2.7.2.1)	2.7.2.1	Acetate kinase	00620	Pyruvate metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.120	HMPREF9024_00112	VBIPedAci303_0120		Acetate kinase (EC 2.7.2.1)	2.7.2.1	Acetate kinase	00640	Propanoate metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.120	HMPREF9024_00112	VBIPedAci303_0120		Acetate kinase (EC 2.7.2.1)	2.7.2.1	Acetate kinase	00680	Methane metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.120	HMPREF9024_00112	VBIPedAci303_0120		Acetate kinase (EC 2.7.2.1)	2.7.2.1	Acetate kinase	00720	Reductive carboxylate cycle (CO2 fixation)
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.121	HMPREF9024_00113	VBIPedAci303_0121		Succinate-semialdehyde dehydrogenase [NAD] (EC 1.2.1.24); Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.79)	1.2.1.24	Succinate-semialdehyde dehydrogenase (NAD(+))	00250	Alanine, aspartate and glutamate metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.121	HMPREF9024_00113	VBIPedAci303_0121		Succinate-semialdehyde dehydrogenase [NAD] (EC 1.2.1.24); Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.79)	1.2.1.24	Succinate-semialdehyde dehydrogenase (NAD(+))	00650	Butanoate metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.148	HMPREF9024_00136	VBIPedAci303_0148		UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	5.1.3.14	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	00520	Amino sugar and nucleotide sugar metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.151	HMPREF9024_00139	VBIPedAci303_0151		Uronate isomerase (EC 5.3.1.12)	5.3.1.12	Glucuronate isomerase	00040	Pentose and glucuronate interconversions
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.152	HMPREF9024_00140	VBIPedAci303_0152		D-mannonate oxidoreductase (EC 1.1.1.57)	1.1.1.57	Fructuronate reductase	00040	Pentose and glucuronate interconversions
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.153	HMPREF9024_00141	VBIPedAci303_0153		D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1.1.1.95	Phosphoglycerate dehydrogenase	00260	Glycine, serine and threonine metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.153	HMPREF9024_00141	VBIPedAci303_0153		D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1.1.1.95	Phosphoglycerate dehydrogenase	00680	Methane metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.154	HMPREF9024_00142	VBIPedAci303_0154		Gluconokinase (EC 2.7.1.12)	2.7.1.12	Gluconokinase	00030	Pentose phosphate pathway
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.165	HMPREF9024_00153	VBIPedAci303_0165		4-carboxymuconolactone decarboxylase (EC 4.1.1.44)	4.1.1.44	4-carboxymuconolactone decarboxylase	00362	Benzoate degradation via hydroxylation
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.167	HMPREF9024_00155	VBIPedAci303_0167		6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	1.1.1.44	Phosphogluconate dehydrogenase (decarboxylating)	00030	Pentose phosphate pathway
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.167	HMPREF9024_00155	VBIPedAci303_0167		6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	1.1.1.44	Phosphogluconate dehydrogenase (decarboxylating)	00480	Glutathione metabolism
563194.3	Pediococcus acidilactici 7_4	fig|563194.3.peg.175	HMPREF9024_00162	VBIPedAci303_0175		6-phospho-beta-glucosidase (EC 3.2.1.86)	3.2.1.86	6-phospho-beta-glucosidase	00010	Glycolysis / Gluconeogenesis
