orgId	gdb	gid	pathway	step	score	locusId	sysName	desc	locusId2	sysName2	desc2	blastBits	curatedIds	identity	blastCoverage	blastScore	curatedDesc	hmmBits	hmmId	hmmCoverage	hmmScore	hmmDesc	otherIds	otherBits	otherIdentity	otherCoverage
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	4-hydroxybenzoate	ackA	2	1_1909						479.6	BRENDA::Q9F1X7	59.2	1	2	acetate kinase (EC 2.7.2.1)	456.8	TIGR00016	0.987654320987654	2	ackA: acetate kinase (EC 2.7.2.1)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	4-hydroxybenzoate	ackA	2	1_262						437.2	BRENDA::Q9F1X7	53.5	0.997481108312343	2	acetate kinase (EC 2.7.2.1)	478.7	TIGR00016	0.990123456790123	2	ackA: acetate kinase (EC 2.7.2.1)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	4-hydroxybenzoate	ackA	2	1_179						407.9	BRENDA::Q9F1X7	50.5	0.997481108312343	2	acetate kinase (EC 2.7.2.1)	441.3	TIGR00016	0.987654320987654	2	ackA: acetate kinase (EC 2.7.2.1)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	4-hydroxybenzoate	adh	1	1_3110						708.8	CharProtDB::CH_018413,SwissProt::P33744,metacyc::AADCLOS-MONOMER	44.1	0.988399071925754	1	aldehyde-alcohol dehydrogenase; EC 1.1.1.1; EC 1.2.1.10;; Aldehyde-alcohol dehydrogenase; AAD; EC 1.1.1.1; EC 1.2.1.3;; alcohol/aldehyde dehydrogenase (EC 1.1.1.1; EC 1.2.1.10; EC 1.2.1.57)						BRENDA::A0A1D3TRQ6	921.0	52.9	0.994259471871412
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	4-hydroxybenzoate	adh	1	1_2594						332.0	BRENDA::A6T8Z5	41.1	0.967532467532468	1	aldehyde dehydrogenase (NAD+) (EC 1.2.1.3)						BRENDA::A0A0J9X1M8	521.9	56.2	0.993548387096774
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	4-hydroxybenzoate	adh	0	1_282						360.5	CharProtDB::CH_018413,SwissProt::P33744,metacyc::AADCLOS-MONOMER	43.1	0.516241299303944	0	aldehyde-alcohol dehydrogenase; EC 1.1.1.1; EC 1.2.1.10;; Aldehyde-alcohol dehydrogenase; AAD; EC 1.1.1.1; EC 1.2.1.3;; alcohol/aldehyde dehydrogenase (EC 1.1.1.1; EC 1.2.1.10; EC 1.2.1.57)						BRENDA::A0A1D3TRQ6	478.8	54.4	0.521239954075775
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	4-hydroxybenzoate	adh	0	1_42						255.8	SwissProt::P12693,CharProtDB::CH_015424	32.1	0.946169772256729	0	Aldehyde dehydrogenase; EC 1.2.1.3;; aldehyde dehydrogenase						SwissProt::O86447,CharProtDB::CH_014094	322.4	38.7	0.918918918918919
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	4-hydroxybenzoate	adh	0	1_2411						160.6	SwissProt::Q0KDL6	30.6	0.980874316939891	0	Alcohol dehydrogenase; EC 1.1.1.1; EC 1.1.1.4; EC 1.2.1.3						BRENDA::Q5M4K4	363.6	54.0	1
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	4-hydroxybenzoate	ald-dh-CoA	2	1_3110						921.0	BRENDA::A0A1D3TRQ6	52.9	0.994259471871412	2	acetaldehyde dehydrogenase (acetylating) (EC 1.2.1.10)									
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	4-hydroxybenzoate	ald-dh-CoA	1	1_282						201.4	BRENDA::B0K315	31.6	0.875536480686695	1	acetaldehyde dehydrogenase (acetylating) (EC 1.2.1.10)									
