genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.2	HMPREF0623_0002	metK	S-adenosylmethionine synthetase (EC 2.5.1.6)	2.5.1.6	Methionine adenosyltransferase	00270	Cysteine and methionine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.7	HMPREF0623_0006	leuS	Leucyl-tRNA synthetase (EC 6.1.1.4)	6.1.1.4	Leucine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.15	HMPREF0623_0014	treC	Trehalose-6-phosphate hydrolase (EC 3.2.1.93)	3.2.1.93	Alpha,alpha-phosphotrehalase	00500	Starch and sucrose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.18	HMPREF0623_0017	dgk	Deoxyadenosine kinase (EC 2.7.1.76) @ Deoxyguanosine kinase (EC 2.7.1.113)	2.7.1.113	Deoxyguanosine kinase	00230	Purine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.18	HMPREF0623_0017	dgk	Deoxyadenosine kinase (EC 2.7.1.76) @ Deoxyguanosine kinase (EC 2.7.1.113)	2.7.1.76	Deoxyadenosine kinase	00230	Purine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.24	HMPREF0623_0023	asnB	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) AsnH	6.3.5.4	Asparagine synthase (glutamine-hydrolyzing)	00250	Alanine, aspartate and glutamate metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.24	HMPREF0623_0023	asnB	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) AsnH	6.3.5.4	Asparagine synthase (glutamine-hydrolyzing)	00910	Nitrogen metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.25	HMPREF0623_0024	murE	UDP-N-acetylmuramoy-dipeptide--L-lysine ligase (EC 6.3.2.7)	6.3.2.7	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase	00550	Peptidoglycan biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.27	HMPREF0623_0026	racD	Aspartate racemase (EC 5.1.1.13)	5.1.1.13	Aspartate racemase	00250	Alanine, aspartate and glutamate metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.30	HMPREF0623_0029	nanE	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	5.1.3.9	N-acylglucosamine-6-phosphate 2-epimerase	00520	Amino sugar and nucleotide sugar metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.31	HMPREF0623_0030	nagC	N-acetylmannosamine kinase (EC 2.7.1.60)	2.7.1.60	N-acylmannosamine kinase	00520	Amino sugar and nucleotide sugar metabolism
