gene_id	Uniprot	Pfam	Refseq	Nr	Tigrfam	COG	KEGG	Pathway	GO
assembly_00106	-	-	WP_002830829.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_00959	-	PF01219.16`DAGK_prokar`Prokaryotic diacylglycerol kinase	WP_004165942.1`diacylglycerol kinase family protein	undecaprenol kinase [Pediococcus acidilactici 7_4]	-	-	assembly_00959`K00887	Peptidoglycan biosynthesis`ko00550	-
assembly_01493	Anaerobic ribonucleoside-triphosphate reductase-activating protein`	PF13353.3`Fer4_12`4Fe-4S single cluster domain;PF13394.3`Fer4_14`4Fe-4S single cluster domain;PF04055.18`Radical_SAM`Radical SAM superfamily	WP_024862543.1`anaerobic ribonucleoside-triphosphate reductase activating protein	anaerobic ribonucleoside-triphosphate reductase activating protein [Pediococcus acidilactici]	TIGR04003`rSAM_BssD: [benzylsuccinate synthase]-activating enzyme;TIGR04395`cutC_activ_rSAM: choline TMA-lyase-activating enzyme;TIGR04041`activase_YjjW: glycine radical enzyme activase, YjjW family;TIGR02494`PFLE_PFLC: glycyl-radical enzyme activating protein;TIGR02495`NrdG2: anaerobic ribonucleoside-triphosphate reductase activating protein;TIGR02826`RNR_activ_nrdG3: anaerobic ribonucleoside-triphosphate reductase activating protein;TIGR02493`PFLA: pyruvate formate-lyase 1-activating enzyme;TIGR02491`NrdG: anaerobic ribonucleoside-triphosphate reductase activating protein	Organic radical activating enzyme`General function prediction only`R	-	-	GO:0005737`cytoplasm`cellular_component;GO:0046872`metal ion binding`molecular_function;GO:0051539`4 iron, 4 sulfur cluster binding`molecular_function;GO:0043365`[formate-C-acetyltransferase]-activating enzyme activity`molecular_function
assembly_01729	PTS system galactitol-specific EIIC component`	PF03611.11`EIIC-GAT`PTS system sugar-specific permease component	WP_024862836.1`PTS galactitol transporter subunit IIC	PTS galactitol transporter subunit IIC [Pediococcus acidilactici]	TIGR00827`EIIC-GAT: PTS system, galactitol-specific IIC component	Phosphotransferase system, galactitol-specific IIC component`Carbohydrate transport and metabolism`G	assembly_01729`K02775	Phosphotransferase system (PTS)`ko02060;Galactose metabolism`ko00052	GO:0009401`phosphoenolpyruvate-dependent sugar phosphotransferase system`biological_process;GO:0019402`galactitol metabolic process`biological_process;GO:0015577`galactitol transmembrane transporter activity`molecular_function;GO:0016021`integral component of membrane`cellular_component;GO:0005886`plasma membrane`cellular_component
assembly_01436	-	PF13683.3`rve_3`Integrase core domain;PF00665.23`rve`Integrase core domain;PF13610.3`DDE_Tnp_IS240`DDE domain	WP_099765615.1`IS30 family transposase, partial	IS30 family transposase, partial [Lactobacillus sakei]	-	-	-	-	-
assembly_01588	UPF0659 protein YMR090W`	PF01370.18`Epimerase`NAD dependent epimerase/dehydratase family;PF05368.10`NmrA`NmrA-like family;PF13460.3`NAD_binding_10`NAD(P)H-binding;PF03807.14`F420_oxidored`NADP oxidoreductase coenzyme F420-dependent	WP_024862578.1`SDR family oxidoreductase	SDR family oxidoreductase [Pediococcus acidilactici]	TIGR03466`HpnA: hopanoid-associated sugar epimerase	-	-	-	GO:0005737`cytoplasm`cellular_component
assembly_01764	-	PF08125.10`Mannitol_dh_C`Mannitol dehydrogenase C-terminal domain;PF01232.20`Mannitol_dh`Mannitol dehydrogenase Rossmann domain	WP_024862818.1`mannitol dehydrogenase family protein	mannitol dehydrogenase family protein [Pediococcus acidilactici]	-	-	assembly_01764`K00040	Pentose and glucuronate interconversions`ko00040	-
assembly_01635	-	PF01738.15`DLH`Dienelactone hydrolase family;PF03959.10`FSH1`Serine hydrolase (FSH1);PF00561.17`Abhydrolase_1`alpha/beta hydrolase fold;PF12146.5`Hydrolase_4`Serine aminopeptidase, S33;PF12697.4`Abhydrolase_6`Alpha/beta hydrolase family;PF00326.18`Peptidase_S9`Prolyl oligopeptidase family;PF09752.6`DUF2048`Uncharacterized conserved protein (DUF2048);PF02129.15`Peptidase_S15`X-Pro dipeptidyl-peptidase (S15 family)	WP_024862604.1`alpha/beta hydrolase	alpha/beta hydrolase [Pediococcus acidilactici]	TIGR03695`menH_SHCHC: 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase;TIGR02427`protocat_pcaD: 3-oxoadipate enol-lactonase	-	-	-	-
assembly_00679	Uncharacterized transcriptional regulatory protein YclJ`	PF00486.25`Trans_reg_C`Transcriptional regulatory protein, C terminal;PF00072.21`Response_reg`Response regulator receiver domain	WP_005917769.1`response regulator transcription factor	response regulator transcription factor [Pediococcus acidilactici]	TIGR02875`spore_0_A: sporulation transcription factor Spo0A;TIGR02154`PhoB: phosphate regulon transcriptional regulatory protein PhoB;TIGR01818`ntrC: nitrogen regulation protein NR(I);TIGR01387`cztR_silR_copR: heavy metal response regulator;TIGR02915`PEP_resp_reg: PEP-CTERM-box response regulator transcription factor;TIGR03787`marine_sort_RR: proteobacterial dedicated sortase system response regulator;TIGR02956`TMAO_torS: TMAO reductase sytem sensor TorS	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain`Signal transduction mechanisms`T	-	-	GO:0001216`bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding`molecular_function;GO:0005829`cytosol`cellular_component;GO:0032993`protein-DNA complex`cellular_component;GO:0000156`phosphorelay response regulator activity`molecular_function;GO:0003700`transcription factor activity, sequence-specific DNA binding`molecular_function;GO:0000976`transcription regulatory region sequence-specific DNA binding`molecular_function
assembly_01570	Protein translocase subunit SecA 1`	PF00271.28`Helicase_C`Helicase conserved C-terminal domain;PF01043.17`SecA_PP_bind`SecA preprotein cross-linking domain;PF07516.10`SecA_SW`SecA Wing and Scaffold domain;PF07517.11`SecA_DEAD`SecA DEAD-like domain;PF00270.26`DEAD`DEAD/DEAH box helicase	WP_002829950.1`preprotein translocase subunit SecA	preprotein translocase subunit SecA [Pediococcus acidilactici]	TIGR00963`secA: preprotein translocase, SecA subunit;TIGR04221`SecA2_Mycobac: accessory Sec system translocase SecA2;TIGR04397`SecA2_Bac_anthr: accessory Sec system translocase SecA2;TIGR03714`secA2: accessory Sec system translocase SecA2	Preprotein translocase subunit SecA (ATPase, RNA helicase)`Intracellular trafficking, secretion, and vesicular transport`U	assembly_01570`K03070	Bacterial secretion system`ko03070;Protein export`ko03060	GO:0005524`ATP binding`molecular_function;GO:0005886`plasma membrane`cellular_component;GO:0065002`intracellular protein transmembrane transport`biological_process;GO:0006605`protein targeting`biological_process;GO:0005737`cytoplasm`cellular_component;GO:0017038`protein import`biological_process
assembly_01252	Dephospho-CoA kinase`	PF01121.17`CoaE`Dephospho-CoA kinase	WP_024862434.1`dephospho-CoA kinase	dephospho-CoA kinase [Pediococcus acidilactici]	TIGR00152`TIGR00152: dephospho-CoA kinase	Dephospho-CoA kinase`Coenzyme transport and metabolism`H	assembly_01252`K00859	Pantothenate and CoA biosynthesis`ko00770	GO:0004140`dephospho-CoA kinase activity`molecular_function;GO:0005737`cytoplasm`cellular_component;GO:0005524`ATP binding`molecular_function;GO:0015937`coenzyme A biosynthetic process`biological_process
assembly_00705	Serine hydroxymethyltransferase`	PF01041.14`DegT_DnrJ_EryC1`DegT/DnrJ/EryC1/StrS aminotransferase family;PF00464.16`SHMT`Serine hydroxymethyltransferase;PF00155.18`Aminotran_1_2`Aminotransferase class I and II;PF01212.18`Beta_elim_lyase`Beta-eliminating lyase;PF01053.17`Cys_Met_Meta_PP`Cys/Met metabolism PLP-dependent enzyme	WP_024863019.1`serine hydroxymethyltransferase	serine hydroxymethyltransferase [Pediococcus acidilactici]	TIGR04506`F_threo_transal: fluorothreonine transaldolase;TIGR01977`am_tr_V_EF2568: cysteine desulfurase family protein;TIGR04427`PLP_DesI: dTDP-4-dehydro-6-deoxyglucose aminotransferase	Glycine/serine hydroxymethyltransferase`Amino acid transport and metabolism`E	assembly_00705`K00600	Glycine, serine and threonine metabolism`ko00260;Biosynthesis of amino acids`ko01230;One carbon pool by folate`ko00670;Carbon metabolism`ko01200;Glyoxylate and dicarboxylate metabolism`ko00630;Methane metabolism`ko00680;Cyanoamino acid metabolism`ko00460	GO:0005737`cytoplasm`cellular_component;GO:0019264`glycine biosynthetic process from serine`biological_process;GO:0004372`glycine hydroxymethyltransferase activity`molecular_function;GO:0035999`tetrahydrofolate interconversion`biological_process;GO:0030170`pyridoxal phosphate binding`molecular_function
assembly_01717	-	PF00936.16`BMC`BMC domain	WP_024862648.1`BMC domain-containing protein	BMC domain-containing protein [Pediococcus acidilactici]	TIGR02526`eut_PduT: PduT-like ethanolamine utilization protein	-	-	-	-
assembly_01119	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)`	PF01255.16`Prenyltransf`Putative undecaprenyl diphosphate synthase	WP_002831542.1`isoprenyl transferase	isoprenyl transferase [Pediococcus acidilactici]	TIGR00055`uppS: di-trans,poly-cis-decaprenylcistransferase	Undecaprenyl pyrophosphate synthase`Lipid transport and metabolism`I	assembly_01119`K00806	Terpenoid backbone biosynthesis`ko00900	GO:0000287`magnesium ion binding`molecular_function;GO:0008834`di-trans,poly-cis-decaprenylcistransferase activity`molecular_function
assembly_01277	-	PF05368.10`NmrA`NmrA-like family;PF13460.3`NAD_binding_10`NAD(P)H-binding	WP_005916435.1`SDR family oxidoreductase	SDR family oxidoreductase [Pediococcus acidilactici]	TIGR03649`ergot_EASG: ergot alkaloid biosynthesis protein, AFUA_2G17970 family	-	assembly_01277`K19267	Ubiquinone and other terpenoid-quinone biosynthesis`ko00130	-
assembly_00412	Teichoic acid poly(glycerol phosphate) polymerase`	PF04464.11`Glyphos_transf`CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase	WP_053906227.1`CDP-glycerol glycerophosphotransferase family protein	-	-	CDP-glycerol glycerophosphotransferase, TagB/SpsB family`Cell wall/membrane/envelope biogenesis`M	-	-	GO:0019350`teichoic acid biosynthetic process`biological_process;GO:0047355`CDP-glycerol glycerophosphotransferase activity`molecular_function;GO:0071555`cell wall organization`biological_process;GO:0005886`plasma membrane`cellular_component
assembly_00691	-	-	-	-	-	-	-	-	-
assembly_00593	-	PF06750.10`DiS_P_DiS`Bacterial Peptidase A24 N-terminal domain;PF01478.15`Peptidase_A24`Type IV leader peptidase family	WP_024862979.1`prepilin peptidase	prepilin peptidase [Pediococcus acidilactici]	-	-	-	-	-
assembly_01664	Uncharacterized MFS-type transporter YhcA`	PF07690.13`MFS_1`Major Facilitator Superfamily	WP_002830079.1`MFS transporter	MFS transporter [Pediococcus acidilactici]	TIGR00711`efflux_EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family	-	-	-	GO:0016021`integral component of membrane`cellular_component;GO:0005886`plasma membrane`cellular_component;GO:0022857`transmembrane transporter activity`molecular_function
assembly_00446	Sortase A`	PF04203.10`Sortase`Sortase family	WP_024862925.1`class A sortase	class A sortase [Pediococcus acidilactici]	TIGR01076`sortase_fam: sortase;TIGR03784`marine_sortase: sortase, marine proteobacterial type	Sortase (surface protein transpeptidase)`Cell wall/membrane/envelope biogenesis`M	-	-	GO:0016021`integral component of membrane`cellular_component;GO:0005886`plasma membrane`cellular_component;GO:0008234`cysteine-type peptidase activity`molecular_function
assembly_00057	-	-	WP_002830799.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_00926	FMN reductase (NADPH)`	PF14512.3`TM1586_NiRdase`Putative TM nitroreductase;PF00881.21`Nitroreductase`Nitroreductase family	WP_070366202.1`NADPH-dependent oxidoreductase	NADPH-dependent oxidoreductase [Pediococcus acidilactici]	-	Nitroreductase`Energy production and conversion`C	-	-	GO:0052873`FMN reductase (NADPH) activity`molecular_function
assembly_01296	-	PF02583.14`Trns_repr_metal`Metal-sensitive transcriptional repressor	WP_004165335.1`metal-sensitive transcriptional regulator	metal-sensitive transcriptional regulator [Pediococcus acidilactici]	-	-	-	-	-
assembly_00697	Putative D-alanyl-D-alanine carboxypeptidase`	PF00144.21`Beta-lactamase`Beta-lactamase	WP_065124734.1`serine hydrolase	serine hydrolase [Pediococcus acidilactici]	-	-	-	-	GO:0009002`serine-type D-Ala-D-Ala carboxypeptidase activity`molecular_function;GO:0016021`integral component of membrane`cellular_component;GO:0031226`intrinsic component of plasma membrane`cellular_component
assembly_01123	30S ribosomal protein S2`	PF00318.17`Ribosomal_S2`Ribosomal protein S2	WP_002831534.1`30S ribosomal protein S2	30S ribosomal protein S2 [Pediococcus acidilactici]	TIGR01011`rpsB_bact: ribosomal protein uS2;TIGR01012`uS2_euk_arch: ribosomal protein uS2	Ribosomal protein S2`Translation, ribosomal structure and biogenesis`J	assembly_01123`K02967	Ribosome`ko03010	GO:0003735`structural constituent of ribosome`molecular_function;GO:0006412`translation`biological_process;GO:0015935`small ribosomal subunit`cellular_component
