genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.12	CFI14_00060		D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	3.4.16.4	Serine-type D-Ala-D-Ala carboxypeptidase	00550	Peptidoglycan biosynthesis
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.13	CFI14_00065		Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00250	Alanine, aspartate and glutamate metabolism
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.13	CFI14_00065		Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00270	Cysteine and methionine metabolism
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.13	CFI14_00065		Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00330	Arginine and proline metabolism
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.13	CFI14_00065		Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00350	Tyrosine metabolism
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.13	CFI14_00065		Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00360	Phenylalanine metabolism
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.13	CFI14_00065		Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.13	CFI14_00065		Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00401	Novobiocin biosynthesis
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.13	CFI14_00065		Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00710	Carbon fixation in photosynthetic organisms
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.13	CFI14_00065		Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00950	Isoquinoline alkaloid biosynthesis
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.13	CFI14_00065		Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00960	Tropane, piperidine and pyridine alkaloid biosynthesis
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.21	CFI14_00180		Adenine phosphoribosyltransferase (EC 2.4.2.7)	2.4.2.7	Adenine phosphoribosyltransferase	00230	Purine metabolism
1589.89	Lactobacillus pentosus strain ZFM94	fig|1589.89.peg.30	CFI14_00225		Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	4.99.1.1	Ferrochelatase	00860	Porphyrin and chlorophyll metabolism
