Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Mass	EC number	Pathway	Function [CC]	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (molecular function)	Subcellular location [CC]
F9UPU7	KT3K_LACPL	Probable ketoamine kinase lp_1983 (EC 2.7.1.-)	lp_1983	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	280	lp_1983	31841	2.7.1.-		FUNCTION: Ketoamine kinase that phosphorylates ketoamines, such as erythruloselysine, erythrulosecadaverine, ribuloselysine and ribulosecadaverine, on the third carbon of the sugar moiety to generate ketoamine 3-phosphate (PubMed:17681011). Has higher activity on free lysine (erythruloselysine and ribuloselysine), than on ribuloselysine and erythruloselysine residues on glycated proteins (PubMed:17681011). {ECO:0000269|PubMed:17681011}.	phosphorylation [GO:0016310]		ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; protein-ribulosamine 3-kinase activity [GO:0102193]; phosphorylation [GO:0016310]	GO:0005524; GO:0016301; GO:0016310; GO:0016773; GO:0102193	ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; protein-ribulosamine 3-kinase activity [GO:0102193]	
F9USS9	LARA_LACPL	Lactate racemase (Lar) (EC 5.1.2.1) (Lactate racemization operon protein LarA)	larA lp_0104	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	424	lp_0104	46239	5.1.2.1		FUNCTION: Catalyzes the interconversion between the D- and L-isomers of lactate (PubMed:24710389, PubMed:26138974). May act as a rescue enzyme to ensure D-lactate production in physiological conditions where its production by the D-lactate dehydrogenase LdhD is not sufficient (PubMed:16166538). D-Lactate is absolutely required for growth of L.plantarum and is an essential component of the cell wall peptidoglycan in this species, where it is incorporated as the last residue of the muramoyl-pentadepsipeptide peptidoglycan precursor; its incorporation confers high level of vancomycin resistance (PubMed:16166538). {ECO:0000269|PubMed:16166538, ECO:0000269|PubMed:24710389, ECO:0000269|PubMed:26138974}.			lactate racemase activity [GO:0050043]; metal ion binding [GO:0046872]	GO:0046872; GO:0050043	lactate racemase activity [GO:0050043]; metal ion binding [GO:0046872]	
F9UST4	LARE_LACPL	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase (EC 4.4.1.37) (Lactate racemase accessory protein LarE) (Lactate racemase activation protein LarE) (Lactate racemase maturation protein LarE) (Lactate racemization operon protein LarE) (Nickel-pincer cofactor biosynthesis protein LarE) (Pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase) (P2CMN sulfurtransferase)	larE lp_0109	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	276	lp_0109	30484	4.4.1.37		FUNCTION: Involved in the biosynthesis of a nickel-pincer cofactor ((SCS)Ni(II) pincer complex). Catalyzes the ATP-dependent incorporation of two sulfur atoms in pyridinium-3,5-biscarboxylic acid mononucleotide (P2CMN) to yield pyridinium-3,5-bisthiocarboxylic acid mononucleotide (P2TMN). The source of sulfur is the enzyme itself: Cys-176 of LarE is the sulfur donor, thereby being converted into dehydroalanine, and is not regenerated in vivo. Thus, two molecules of LarE undergo sacrificial sulfur transfer to create one P2TMN (PubMed:27114550). Binds nickel (PubMed:24710389). Is required for the activation of the lactate racemase LarA (PubMed:24710389). May also be involved in the activation of other nickel-pincer cofactor-dependent enzymes (PubMed:27114550). {ECO:0000269|PubMed:24710389, ECO:0000269|PubMed:27114550}.			ATP binding [GO:0005524]; lyase activity [GO:0016829]; sulfurtransferase activity [GO:0016783]	GO:0005524; GO:0016783; GO:0016829	ATP binding [GO:0005524]; lyase activity [GO:0016829]; sulfurtransferase activity [GO:0016783]	
P59407	NANA_LACPL	N-acetylneuraminate lyase (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase)	nanA lp_3568	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	292	lp_3568	32708	4.1.3.3	PATHWAY: Amino-sugar metabolism; N-acetylneuraminate degradation; D-fructose 6-phosphate from N-acetylneuraminate: step 1/5. {ECO:0000255|HAMAP-Rule:MF_01237}.	FUNCTION: Catalyzes the reversible aldol cleavage of N-acetylneuraminic acid (sialic acid; Neu5Ac) to form pyruvate and N-acetylmannosamine (ManNAc) via a Schiff base intermediate. {ECO:0000255|HAMAP-Rule:MF_01237, ECO:0000269|PubMed:21317263}.	carbohydrate metabolic process [GO:0005975]; N-acetylneuraminate catabolic process [GO:0019262]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; N-acetylneuraminate lyase activity [GO:0008747]; carbohydrate metabolic process [GO:0005975]; N-acetylneuraminate catabolic process [GO:0019262]	GO:0005737; GO:0005975; GO:0008747; GO:0019262	N-acetylneuraminate lyase activity [GO:0008747]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01237}.
Q06115	CBH_LACPL	Conjugated bile acid hydrolase (EC 3.5.1.-) (Bile salt hydrolase) (BSH) (Choloylglycine hydrolase) (EC 3.5.1.24)	cbh bsh lp_3536	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	324	lp_3536	37042	3.5.1.-; 3.5.1.24	PATHWAY: Lipid metabolism; bile acid biosynthesis. {ECO:0000305|PubMed:1476424}.	FUNCTION: Bile salt hydrolase that catalyzes the deconjugation of glycine- and taurine-linked bile salts, which occurs naturally in the intestines of animals, releasing amino acid residues and deconjugated bile salts (bile acids). Can hydrolyze the amid bond in the bile salts glycocholate (GCA), glycodeoxycholate (GDCA), glycochenodeoxycholate (GCDCA), taurocholate (TCA), taurodeoxycholate (TDCA) and taurochenodeoxycholate (TCDCA). Shows a preference for glycine-conjugated bile acids as substrates. {ECO:0000269|PubMed:1476424}.	bile acid biosynthetic process [GO:0006699]		chenodeoxycholoyltaurine hydrolase activity [GO:0047742]; choloylglycine hydrolase activity [GO:0045302]; bile acid biosynthetic process [GO:0006699]	GO:0006699; GO:0045302; GO:0047742	chenodeoxycholoyltaurine hydrolase activity [GO:0047742]; choloylglycine hydrolase activity [GO:0045302]	
F9ULM5	KHPB_LACPL	RNA-binding protein KhpB (RNA-binding protein EloR) (Single stranded DNA-binding protein)	khpB eloR lp_3683	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	322	lp_3683	34181			FUNCTION: A probable RNA chaperone. Forms a complex with KhpA which binds to cellular RNA and controls its expression. Plays a role in peptidoglycan (PG) homeostasis and cell length regulation. {ECO:0000255|HAMAP-Rule:MF_00867}.; FUNCTION: Necessary for correct cell elongation. {ECO:0000269|PubMed:30894429}.	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; RNA binding [GO:0003723]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	GO:0003723; GO:0005737; GO:0008360; GO:0009252; GO:0071555	RNA binding [GO:0003723]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00867}.
F9UMS6	MLES_LACPL	Malolactic enzyme (MLE) (EC 4.1.1.101)	mleS lp_1118	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	547	lp_1118	59465	4.1.1.101		FUNCTION: Involved in the malolactic fermentation (MLF) of wine, which results in a natural decrease in acidity and favorable changes in wine flavors. Catalyzes the decarboxylation of L-malate to L-lactate. {ECO:0000269|PubMed:6833282}.	malolactic fermentation [GO:0043464]		carboxy-lyase activity [GO:0016831]; malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; malolactic enzyme activity [GO:0043883]; manganese ion binding [GO:0030145]; NAD binding [GO:0051287]; malolactic fermentation [GO:0043464]	GO:0004471; GO:0016831; GO:0030145; GO:0043464; GO:0043883; GO:0051287	carboxy-lyase activity [GO:0016831]; malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; malolactic enzyme activity [GO:0043883]; manganese ion binding [GO:0030145]; NAD binding [GO:0051287]	
F9UNB1	F9UNB1_LACPL	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd1 asd lp_1346	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	360	lp_1346	39120	1.2.1.11	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 2/4. {ECO:0000256|ARBA:ARBA00005076, ECO:0000256|HAMAP-Rule:MF_02121}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 2/3. {ECO:0000256|ARBA:ARBA00005021, ECO:0000256|HAMAP-Rule:MF_02121}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 2/5. {ECO:0000256|ARBA:ARBA00005097, ECO:0000256|HAMAP-Rule:MF_02121}.	FUNCTION: Catalyzes the NADPH-dependent formation of L-aspartate-semialdehyde (L-ASA) by the reductive dephosphorylation of L-aspartyl-4-phosphate. {ECO:0000256|HAMAP-Rule:MF_02121}.	'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]		aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]; 'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	GO:0004073; GO:0009088; GO:0009089; GO:0009097; GO:0019877; GO:0046983; GO:0050661; GO:0051287; GO:0071266	aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]	
F9UNI1	F9UNI1_LACPL	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	ribA lp_1437	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	404	lp_1437	43615	3.5.4.25	PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis; 2-hydroxy-3-oxobutyl phosphate from D-ribulose 5-phosphate: step 1/1. {ECO:0000256|ARBA:ARBA00004904}.; PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis; 5-amino-6-(D-ribitylamino)uracil from GTP: step 1/4. {ECO:0000256|ARBA:ARBA00004853, ECO:0000256|HAMAP-Rule:MF_00179}.	FUNCTION: Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate. {ECO:0000256|ARBA:ARBA00002284}.; FUNCTION: Catalyzes the conversion of GTP to 2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate (DARP), formate and pyrophosphate. {ECO:0000256|HAMAP-Rule:MF_00179}.	riboflavin biosynthetic process [GO:0009231]	cell surface [GO:0009986]	cell surface [GO:0009986]; 3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; fibronectin binding [GO:0001968]; GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; zinc ion binding [GO:0008270]; riboflavin biosynthetic process [GO:0009231]	GO:0001968; GO:0003935; GO:0005525; GO:0008270; GO:0008686; GO:0009231; GO:0009986	3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; fibronectin binding [GO:0001968]; GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; zinc ion binding [GO:0008270]	
F9UNY8	F9UNY8_LACPL	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC lp_1614	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	408	lp_1614	43426	4.1.1.36; 6.3.2.5	PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 2/5. {ECO:0000256|HAMAP-Rule:MF_02225, ECO:0000256|RuleBase:RU364078}.; PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 3/5. {ECO:0000256|HAMAP-Rule:MF_02225, ECO:0000256|RuleBase:RU364078}.	FUNCTION: Catalyzes two sequential steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine. In the second step the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|HAMAP-Rule:MF_02225}.; FUNCTION: Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|RuleBase:RU364078}.	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]		FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941; GO:0046872	FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]	
