genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	source					1	459200	+	459200								
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.1	HMPREF9024_00001	VBIPedAci303_0001		116	916	-	801		Histidinol-phosphatase-related protein	FIG00229257	PLF_1253_00000405	PGF_03004956			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.2	HMPREF9024_00002	VBIPedAci303_0002		1024	2463	-	1440		6-phospho-beta-glucosidase (EC 3.2.1.86)	FIG00001882	PLF_1253_00000015	PGF_08148954	GO:0008706|6-phospho-beta-glucosidase activity	3.2.1.86|6-phospho-beta-glucosidase	00010|Glycolysis / Gluconeogenesis
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.3	HMPREF9024_00003	VBIPedAci303_0003		2591	3724	-	1134		Glycosyl transferase	FIG00543846	PLF_1253_00000919	PGF_00009045			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.4		VBIPedAci303_0004		3771	3920	-	150		hypothetical protein	FIG00543846	PLF_1253_00002954	PGF_02754022			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.5	HMPREF9024_00004	VBIPedAci303_0005		3925	4428	-	504		hypothetical protein	FIG01228517	PLF_1253_00001037	PGF_06559013			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.6	HMPREF9024_00005	VBIPedAci303_0006		4425	5234	-	810		hypothetical protein	FIG00752180	PLF_1253_00001289	PGF_02753301			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.7	HMPREF9024_00006	VBIPedAci303_0007		5401	5721	-	321		FIG009688: Thioredoxin	FIG00009688	PLF_1253_00000347	PGF_00001219			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.8	HMPREF9024_00007	VBIPedAci303_0008		6274	7227	-	954		Transcription regulator [contains diacylglycerol kinase catalytic domain]	FIG00001646	PLF_1253_00000163	PGF_02746079	GO:0004143|diacylglycerol kinase activity;GO:0007205|protein kinase C activation		
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.9	HMPREF9024_00008	VBIPedAci303_0009		7227	8171	-	945		hypothetical protein	FIG00638284	PLF_1253_00000176	PGF_01590347			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	tRNA	fig|563194.3.rna.1	HMPREF9024_02500	VBIPedAci303_r001		8287	8359	+	73		tRNA-Ala-CGC						
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.10	HMPREF9024_00009	VBIPedAci303_0010		8577	9083	-	507		Transcriptional regulator	FIG01312420	PLF_1253_00001245	PGF_00057658			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.11	HMPREF9024_00010	VBIPedAci303_0011		9437	10177	+	741		Efflux ABC transporter, ATP-binding protein	FIG00001005	PLF_1253_00001204	PGF_00884706			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.12	HMPREF9024_00011	VBIPedAci303_0012		10198	10974	+	777		Efflux ABC transporter, permease protein	FIG01288623	PLF_1253_00001113	PGF_00006351			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.13	HMPREF9024_00012	VBIPedAci303_0013		11554	13065	+	1512		hypothetical protein	FIG00638284	PLF_1253_00002955	PGF_00083735			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.14	HMPREF9024_00013	VBIPedAci303_0014		13417	14163	+	747		Nicotinamide mononucleotide transporter	FIG00773267	PLF_1253_00000964	PGF_02754998			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.15		VBIPedAci303_0015		14123	14245	+	123		hypothetical protein	FIG00638284	PLF_1253_00002255	PGF_02753684			
