orgId	gdb	gid	pathway	step	score	locusId	sysName	desc	locusId2	sysName2	desc2	blastBits	curatedIds	identity	blastCoverage	blastScore	curatedDesc	hmmBits	hmmId	hmmCoverage	hmmScore	hmmDesc	otherIds	otherBits	otherIdentity	otherCoverage
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	argA	2	1_429						361.7	SwissProt::Q07908	49.5	0.951219512195122	2	Arginine biosynthesis bifunctional protein ArgJ; EC 2.3.1.35; EC 2.3.1.1						SwissProt::Q57645	256.5	39.4	0.975124378109453
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	argB	2	1_430						478.8	curated2:O08320	100.0	1	1	Acetylglutamate kinase; EC 2.7.2.8; N-acetyl-L-glutamate 5-phosphotransferase; NAG kinase; NAGK	283.6	TIGR00761	0.995670995670996	2	argB: acetylglutamate kinase (EC 2.7.2.8)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	argC	2	1_428						293.1	SwissProt::Q07906	44.1	0.997101449275362	2	N-acetyl-gamma-glutamyl-phosphate reductase; AGPR; N-acetyl-glutamate semialdehyde dehydrogenase; NAGSA dehydrogenase; EC 1.2.1.38	389.6	TIGR01850	1	2	argC: N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	SwissProt::O50146,metacyc::MONOMER-6802	120.6	32.5	0.709302325581395
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	argD	1	1_431						768.8	curated2:O08321	99.5	1	1	Acetylornithine aminotransferase; ACOAT; EC 2.6.1.11									
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	argD	0	1_1478						235.0	SwissProt::P22256,ecocyc::GABATRANSAM-MONOMER,metacyc::GABATRANSAM-MONOMER	31.4	0.992957746478873	0	4-aminobutyrate aminotransferase GabT; (S)-3-amino-2-methylpropionate transaminase; GABA aminotransferase; GABA-AT; Gamma-amino-N-butyrate transaminase; GABA transaminase; Glutamate:succinic semialdehyde transaminase; L-AIBAT; EC 2.6.1.19; EC 2.6.1.22;; 4-aminobutyrate aminotransferase GabT (EC 2.6.1.19; EC 2.6.1.11);; 4-aminobutyrate aminotransferase (EC 2.6.1.19; EC 2.6.1.11)						BRENDA::M1GRN3,SwissProt::M1GRN3	644.0	71.2	0.995555555555556
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	argD'B	0	1_1478						197.2	BRENDA::O30508,SwissProt::O30508	30.8	0.982758620689655	0	succinylornithine transaminase (EC 2.6.1.81);; Succinylornithine transaminase/acetylornithine aminotransferase; ACOAT; SOAT; Succinylornithine aminotransferase; EC 2.6.1.11; EC 2.6.1.81						BRENDA::M1GRN3,SwissProt::M1GRN3	644.0	71.2	0.995555555555556
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	argD'B	0	1_431						250.4	curated2:B7USC9	38.4	0.933497536945813	0	Succinylornithine transaminase; EC 2.6.1.81; Succinylornithine aminotransferase						reanno::azobra:AZOBR_RS19025	254.2	37.5	0.989717223650386
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	argG	2	1_595						362.5	SwissProt::P59846	45.0	0.995	2	Argininosuccinate synthase; Citrulline--aspartate ligase; EC 6.3.4.5	544.5	TIGR00032	0.99492385786802	2	argG: argininosuccinate synthase (EC 6.3.4.5)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	argH	2	1_596						625.9	BRENDA::Q8DVX5	67.0	1	2	argininosuccinate lyase (EC 4.3.2.1)	639.8	TIGR00838	0.997802197802198	1	argH: argininosuccinate lyase (EC 4.3.2.1)	CharProtDB::CH_123215	374.0	42.8	0.980769230769231
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	argI	2	1_432						409.8	SwissProt::Q8G998	61.9	0.97667638483965	2	Ornithine carbamoyltransferase, catabolic; OTCase; EC 2.1.3.3	388.1	TIGR00658	0.996710526315789	2	argF: ornithine carbamoyltransferase (EC 2.1.3.3)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	argJ	2	1_429						361.7	SwissProt::Q07908	49.5	0.951219512195122	2	Arginine biosynthesis bifunctional protein ArgJ; EC 2.3.1.35; EC 2.3.1.1									
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	carA	2	1_2266						303.1	SwissProt::Q9LVW7	41.6	0.862790697674419	2	Carbamoyl-phosphate synthase small chain, chloroplastic; Carbamoyl-phosphate synthetase glutamine chain; Protein VENOSA 6; EC 6.3.5.5	498.4	TIGR01368	0.994459833795014	2	carA: carbamoyl-phosphate synthase, small subunit (EC 6.3.5.5)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	carA	2	1_427						714.5	curated2:O08317	99.7	1	1	Carbamoyl-phosphate synthase arginine-specific small chain; EC 6.3.5.5; Carbamoyl-phosphate synthetase glutamine chain; CPS-A	427.0	TIGR01368	0.994459833795014	2	carA: carbamoyl-phosphate synthase, small subunit (EC 6.3.5.5)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	carA	2	1_1528						358.6	curated2:Q9CF80	49.2	0.997198879551821	1	Carbamoyl-phosphate synthase small chain; EC 6.3.5.5; Carbamoyl-phosphate synthetase glutamine chain	366.0	TIGR01368	0.994459833795014	2	carA: carbamoyl-phosphate synthase, small subunit (EC 6.3.5.5)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	carB	2	1_2265						977.6	BRENDA::P00968,CharProtDB::CH_002132,ecocyc::CARBPSYN-LARGE,metacyc::CARBPSYN-LARGE	49.5	0.973904939422181	2	carbamoyl-phosphate synthase (glutamine-hydrolysing) (EC 6.3.5.5);; carbamoyl phosphate synthase, large subunit; EC 6.3.5.5;; carbamoyl phosphate synthetase subunit &beta; (EC 6.3.5.5);; carbamoyl phosphate synthetase, &beta; chain (EC 6.3.5.5)	1508.8	TIGR01369	0.998098859315589	2	carB: carbamoyl-phosphate synthase, large subunit (EC 6.3.5.5)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	carB	2	1_426						814.3	BRENDA::P00968,CharProtDB::CH_002132,ecocyc::CARBPSYN-LARGE,metacyc::CARBPSYN-LARGE	47.5	0.87138863000932	2	carbamoyl-phosphate synthase (glutamine-hydrolysing) (EC 6.3.5.5);; carbamoyl phosphate synthase, large subunit; EC 6.3.5.5;; carbamoyl phosphate synthetase subunit &beta; (EC 6.3.5.5);; carbamoyl phosphate synthetase, &beta; chain (EC 6.3.5.5)	1286.1	TIGR01369	0.925855513307985	2	carB: carbamoyl-phosphate synthase, large subunit (EC 6.3.5.5)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	carB	0	1_1529						431.0	curated2:B7IUP6	34.7	0.604477611940298	0	Carbamoyl-phosphate synthase large chain; EC 6.3.5.5; Carbamoyl-phosphate synthetase ammonia chain									
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	lysJ	0	1_431						241.1	curated2:Q5SHH5	38.7	0.944303797468354	0	[LysW]-aminoadipate semialdehyde transaminase; EC 2.6.1.-						SwissProt::Q9M8M7	270.8	39.0	0.849015317286652
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	lysJ	0	1_1478						205.3	curated2:Q5SHH5	33.4	0.939240506329114	0	[LysW]-aminoadipate semialdehyde transaminase; EC 2.6.1.-						BRENDA::M1GRN3,SwissProt::M1GRN3	644.0	71.2	0.995555555555556
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	arg	lysY	0	1_428						170.2	curated2:B9KZP8	34.4	0.971590909090909	0	Putative [LysW]-L-2-aminoadipate 6-phosphate reductase; EC 1.2.1.-						SwissProt::Q07906	293.1	44.1	0.997101449275362
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	asn	asnA	2	1_768						295.8	SwissProt::P00963,ecocyc::ASNSYNA-MONOMER	49.8	0.951515151515152	2	Aspartate--ammonia ligase; Asparagine synthetase A; EC 6.3.1.1;; asparagine synthetase A (EC 6.3.1.1)	356.6	TIGR00669	0.963636363636364	2	asnA: aspartate--ammonia ligase (EC 6.3.1.1)				
